query,listing_id,text_similarity,rating,rating_norm,review_count,review_count_norm,reviews_per_month,reviews_per_month_norm,availability_365,availability_365_norm,price,price_norm,price_fit,accommodates_fit,location_match,property_type_match,room_type_match,flexible_cancellation_match,instant_bookable_match,wifi_match,family_home_match,query_wants_wifi,query_wants_family_friendly,preferred_entire_home_match,query_wants_cheap,query_wants_good_reviews,query_wants_flexible_cancellation,query_wants_instant_bookable,query_prefers_entire_home,rule_score,label
cheap apartment for two in Sydney with good reviews,12954494,0.732378363609314,93.0,0.93,3.0,0.006,0.1,0.01,180.0,0.4931506849315068,210.0,0.21,0.30000000000000004,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7431,1
cheap apartment for two in Sydney with good reviews,22380732,0.7244561910629272,100.0,1.0,2.0,0.004,0.18,0.018,0.0,0.0,100.0,0.1,0.6666666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.8286,1
cheap apartment for two in Sydney with good reviews,15849079,0.7199852466583252,80.0,0.8,1.0,0.002,0.04,0.004,0.0,0.0,199.0,0.199,0.33666666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7215,1
cheap apartment for two in Sydney with good reviews,23654317,0.7135517001152039,79.0,0.79,24.0,0.048,3.19,0.319,19.0,0.052054794520547946,75.0,0.075,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.8055,1
cheap apartment for two in Sydney with good reviews,4413128,0.7092384696006775,100.0,1.0,1.0,0.002,0.02,0.002,0.0,0.0,109.0,0.109,0.6366666666666667,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7194,1
cheap apartment for two in Sydney with good reviews,2375330,0.7063345313072205,93.0,0.93,26.0,0.052,0.46,0.046,0.0,0.0,84.0,0.084,0.72,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.8265,1
cheap apartment for two in Sydney with good reviews,30405284,0.7050788402557373,100.0,1.0,1.0,0.002,1.0,0.1,147.0,0.40273972602739727,184.0,0.184,0.3866666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7685,1
cheap apartment for two in Sydney with good reviews,8923383,0.7043274641036987,87.0,0.87,3.0,0.006,0.08,0.008,0.0,0.0,96.0,0.096,0.6799999999999999,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7015,1
cheap apartment for two in Sydney with good reviews,16570860,0.7031720876693726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.14,0.5333333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5973,0
cheap apartment for two in Sydney with good reviews,29909355,0.70225989818573,0.0,0.0,1.0,0.002,1.0,0.1,128.0,0.3506849315068493,176.0,0.176,0.41333333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5733,0
cheap apartment for two in Sydney with good reviews,30522392,0.7008757591247559,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.030136986301369864,84.0,0.084,0.72,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5842,0
cheap apartment for two in Sydney with good reviews,24881744,0.6979730129241943,96.0,0.96,14.0,0.028,2.32,0.23199999999999998,39.0,0.10684931506849316,156.0,0.156,0.48,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.6804,1
cheap apartment for two in Sydney with good reviews,6962591,0.6977994441986084,80.0,0.8,2.0,0.004,0.05,0.005,0.0,0.0,102.0,0.102,0.6599999999999999,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.782,1
cheap apartment for two in Sydney with good reviews,17243877,0.6969406008720398,88.0,0.88,24.0,0.048,1.1,0.11000000000000001,87.0,0.23835616438356164,90.0,0.09,0.7,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7102,1
cheap apartment for two in Sydney with good reviews,22383033,0.6938960552215576,80.0,0.8,1.0,0.002,0.1,0.01,0.0,0.0,40.0,0.04,0.8666666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,1,1,0,0,1,0.7723,1
cheap apartment for two in Sydney with good reviews,9018551,0.6934441328048706,100.0,1.0,2.0,0.004,0.06,0.006,40.0,0.1095890410958904,180.0,0.18,0.4,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7691,1
cheap apartment for two in Sydney with good reviews,3890068,0.6923544406890869,93.0,0.93,3.0,0.006,0.06,0.006,0.0,0.0,150.0,0.15,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7751,1
cheap apartment for two in Sydney with good reviews,18797167,0.6923015117645264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.079,0.7366666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.6358,1
cheap apartment for two in Sydney with good reviews,28239933,0.6920174360275269,76.0,0.76,5.0,0.01,1.67,0.16699999999999998,332.0,0.9095890410958904,55.0,0.055,0.8166666666666667,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,1,1,0,0,1,0.7047,1
cheap apartment for two in Sydney with good reviews,1945596,0.6873008012771606,100.0,1.0,2.0,0.004,0.03,0.003,0.0,0.0,140.0,0.14,0.5333333333333333,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.6945,1
cheap apartment for two in Sydney with good reviews,22507301,0.6871804594993591,85.0,0.85,4.0,0.008,0.41,0.040999999999999995,0.0,0.0,150.0,0.15,0.5,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7082,1
cheap apartment for two in Sydney with good reviews,30575585,0.6858261227607727,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.2876712328767123,143.0,0.143,0.5233333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5918,0
cheap apartment for two in Sydney with good reviews,21328054,0.6849849820137024,92.0,0.92,22.0,0.044,1.85,0.185,280.0,0.7671232876712328,125.0,0.125,0.5833333333333333,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.6921,1
cheap apartment for two in Sydney with good reviews,9222105,0.6847818493843079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.325,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.487,0
cheap apartment for two in Sydney with good reviews,6648424,0.6832276582717896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.05,0.8333333333333334,0.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5033,0
cheap apartment for two in Sydney with good reviews,4448844,0.6825060844421387,90.0,0.9,2.0,0.004,0.04,0.004,0.0,0.0,40.0,0.04,0.8666666666666667,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,1,1,0,0,1,0.4902,0
cheap apartment for two in Sydney with good reviews,10106302,0.6819722056388855,95.0,0.95,91.0,0.182,2.54,0.254,348.0,0.9534246575342465,115.0,0.115,0.6166666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.8179,1
cheap apartment for two in Sydney with good reviews,23945241,0.6819085478782654,100.0,1.0,1.0,0.002,0.14,0.014000000000000002,85.0,0.2328767123287671,90.0,0.09,0.7,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.7266,1
cheap apartment for two in Sydney with good reviews,29980238,0.681659460067749,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.052054794520547946,100.0,0.1,0.6666666666666667,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5697,0
cheap apartment for two in Sydney with good reviews,1873594,0.6813532114028931,93.0,0.93,24.0,0.048,0.39,0.039,0.0,0.0,42.0,0.042,0.86,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,1,1,0,0,1,0.6991,1
cheap apartment for two in Sydney with good reviews,5609458,0.680989146232605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.1,0.6666666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,1,1,0,0,1,0.5695,0
cheap apartment for two in Sydney with good reviews,30570786,0.6809150576591492,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.049315068493150684,140.0,0.14,0.5333333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5928,0
cheap apartment for two in Sydney with good reviews,30157088,0.6800718307495117,0.0,0.0,1.0,0.002,1.0,0.1,21.0,0.057534246575342465,199.0,0.199,0.33666666666666667,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.5535,0
cheap apartment for two in Sydney with good reviews,11290434,0.6795023679733276,100.0,1.0,1.0,0.002,0.03,0.003,0.0,0.0,75.0,0.075,0.75,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0,0,0.0,1,1,0,0,1,0.7361,1
cheap apartment for two in Sydney with good reviews,13180249,0.679253339767456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.289,0.036666666666666625,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0,0,1.0,1,1,0,0,1,0.4932,0
